long_name,nationality_name,age,category
long_name,nationality_name,,Ветеран
Gareth Taylor,Wales,53,Профессионал
Seb Hines,England,38,Перспективный
Michal Kolomaznik,Czech Republic,50,Профессионал
Fabrice Abriel,France,47,Профессионал
Frédéric Biancalani,France,52,Профессионал
Gerardo García León,Spain,52,Профессионал
Renee Slegers,Netherlands,38,Перспективный
Andries Jonker,Netherlands,64,Ветеран
José Alberto Toril Rodríguez,Spain,53,Профессионал
Corinne Diacre,France,52,Профессионал
Xiuquan Jia,China PR,63,Ветеран
Yannick Chandioux,France,51,Профессионал
Manuel Jesús Cano Martín,Spain,51,Профессионал
Robert de Pauw,Netherlands,45,Профессионал
Jonas Eidevall,Sweden,43,Профессионал
Patrice Lair,France,65,Ветеран
Rachel Saïdi,France,38,Перспективный
Sandrine Soubeyrand,France,53,Профессионал
Sébastien Joseph,France,47,Профессионал
Casey Stoney,England,44,Профессионал
Sara Monforte Mestre,Spain,46,Профессионал
Emma Hayes,England,50,Профессионал
Joseph Montemurro,Australia,57,Ветеран
Matt Beard,England,48,Профессионал
Inka Grings,Germany,48,Профессионал
Peter Gerhardsson,Sweden,67,Ветеран
Milena Bertolini,Italy,60,Ветеран
Jorge Vilda,Spain,45,Профессионал
Francisco Neto,Portugal,45,Профессионал
Martina Voss-Tecklenburg,Germany,59,Ветеран
Sarina Glotzbach-Wiegman,Netherlands,57,Ветеран
Sonia Bompastor,France,46,Профессионал
Brian Sorensen,Denmark,46,Профессионал
Amandine Miquel,France,42,Профессионал
Tony Gustavsson,Sweden,53,Профессионал
Sascha Glass,Germany,54,Профессионал
Markus Högner,Germany,59,Ветеран
Niko Arnautis,Germany,46,Профессионал
Futoshi Ikeda,Japan,56,Ветеран
Ives Serneels,Belgium,54,Профессионал
Vlatko Andonovski,United States,50,Профессионал
Hege Riise,Norway,57,Ветеран
Filipa Santos Patão,Portugal,37,Перспективный
Laura Harvey,England,46,Профессионал
Pedro López,Spain,47,Профессионал
Alexander Straus,Norway,51,Профессионал
Pia Mariane Sundhage,Sweden,66,Ветеран
Mark Parsons,England,40,Профессионал
Rehanne Skinner,England,47,Профессионал
Jitka Klimkova,Czech Republic,52,Профессионал
Osman Cankaya,Germany,37,Перспективный
Eileen Gleeson,Republic of Ireland,54,Профессионал
Natalia Arroyo,Spain,40,Профессионал
Juan Carlos Amorós,Spain,42,Профессионал
Thomas Horsch,Germany,58,Ветеран
Jonatan Giráldez,Spain,35,Перспективный
Christophe Forest,France,57,Ветеран
Jérôme Bonnet,France,48,Профессионал
Germán Darío Portanova,Argentina,53,Профессионал
Qingxia Shui,China PR,60,Ветеран
Roger Lamesa Grau,Spain,36,Перспективный
Frédéric Gonçalves,France,44,Профессионал
Mathieu Rufié,France,43,Профессионал
Walter Schneck,Germany,71,Ветеран
Christopher Joseph Petrucelli,United States,64,Ветеран
José Ángel Herrera Martin,Spain,37,Перспективный
Alexander Saban Uzun,Turkey,39,Перспективный
Suzanne Bakker,Netherlands,40,Профессионал
Gérard Prêcheur,France,67,Ветеран
Ferrán Cabello Bellet,Spain,34,Перспективный
Theresa Merk,Germany,37,Перспективный
Michel Bradaia,France,55,Профессионал
Nadine Rolser,Germany,36,Перспективный
Mike Norris,England,47,Профессионал
